Number Nucleus	Spin	Abundance	FreqFactor	Ratio	RatioAcq				
1	H	1/2	99.980000	1.000000	100.000000	100.000000				
2	H	1	0.015	0.15351	15.350609	15.350609				
3	H	1/2	0.000000	1.066630	106.663974	106.663974				
3	He	1/2	0.000130	0.761780	76.178976	76.178976				
6	Li	1	7.42	0.14717	14.716086	14.716086				
7	Li	3/2	92.580000	0.388630	38.863797	38.863797				
9	Be	3/2	100.000000	0.140530	14.051813	14.051813				
10	B	3	19.58	0.10743	10.743658	10.743658				
11	B	3/2	8.42	0.320840	32.083974	32.083974				
13	C	1/2	1.108000	0.251440	25.145020	25.144953				
14	N	1	99.63	0.07226	7.226317	7.226317				
15	N	1/2	0.370000	0.101330	10.136767	10.132912				
17	O	5/2	0.037	0.13562	13.556457	13.556457				
19	F	1/2	100.000000	0.940770	94.094011	94.094011				
21	Ne	3/2	0.257000	0.078940	7.894296	7.894296				
23	Na	3/2	100.000000	0.264510	26.451900	26.451900				
25	Mg	5/2	10.13	0.06126	6.121635	6.121635				
27	Al	5/2	100.000000	0.260770	26.056859	26.056859				
29	Si	1/2	4.700000	0.198650	19.867187	19.867187				
31	P	1/2	100.000000	0.404810	40.480742	40.480864				
33	S	3/2	0.760000	0.076700	7.676000	7.676000				
35	Cl	3/2	75.530000	0.097980	9.797909	9.797909				
37	Cl	3/2	24.470000	0.081560	8.155725	8.155725				
39	K	3/2	93.100000	0.046660	4.666373	4.666373				
40	K	4	0.012	0.05810	5.802018	5.802018				
41	K	3/2	6.880000	0.025610	2.561305	2.561305				
43	Ca	7/2	0.145	0.06739	6.730029	6.730029				
45	Sc	7/2	100	0.24330	24.291747	24.291747				
47	Ti	5/2	7.28	0.5643	5.637534	5.637534				
49	Ti	7/2	5.51	0.56443	5.639037	5.639037				
50	V	6	0.24	0.09988	9.970309	9.970309				
51	V	7/2	99.76	0.26350	26.302948	26.302948				
53	Cr	3/2	9.550000	0.056520	5.652496	5.652496				
55	Mn	5/2	100	0.26840	24.789218	24.789218				
57	Fe	1/2	2.190000	0.032310	3.237778	3.237778				
59	Co	7/2	100	0.23727	23.727074	23.727074				
61	Ni	3/2	1.190000	0.089360	8.936051	8.936051				
63	Cu	3/2	69.090000	0.265050	26.515473	26.515473				
65	Cu	3/2	30.910000	0.283940	28.403693	28.403693				
67	Zn	5/2	4.11	0.06256	6.256803	6.256803				
69	Ga	3/2	60.400000	0.240030	24.001354	24.001354				
71	Ga	3/2	39.600000	0.304950	30.496704	30.496704				
73	Ge	9/2	7.76	0.03488	3.488315	3.488315				
75	As	3/2	100.000000	0.171270	17.122614	17.122614				
77	Se	1/2	7.580000	0.190680	19.071513	19.071513				
79	Br	3/2	50.540000	0.250530	25.053980	25.053980				
81	Br	3/2	49.460000	0.270060	27.006518	27.006518				
83	Kr	9/2	11.55	0.03862	3.847600	3.847600				
85	Rb	5/2	72.15	0.09690	9.654943	9.654943				
87	Rb	3/2	27.850000	0.327210	32.720454	32.720454				
87	Sr	9/2	7.02	0.04349	4.333822	4.333822				
89	Y	1/2	100.000000	0.048990	4.900198	4.900198				
91	Zr	5/2	11.23	0.09336	9.296298	9.296298				
93	Nb	9/2	100	0.24549	24.476170	24.476170				
95	Mo	5/2	15.72	0.06547	6.516926	6.516926				
97	Mo	5/2	9.46	6.685	6.653695	6.653695				
99	Tc	9/2	0	0.22508	22.508326	22.508326				
99	Ru	3/2	12.720000	0.033900	4.605151	4.605151				
101	Ru	5/2	17.07	0.05161	5.161369	5.161369				
103	Rh	1/2	100.000000	0.031470	3.186447	3.186447				
105	Pd	5/2	22.23	0.04576	4.576100	4.576100				
107	Ag	1/2	51.820000	0.040460	4.047819	4.047819				
