comp_id,atom_id,count,min,max,avg,std
DA,H1',908,5.05,6.699,6.079,0.243
DA,H2,814,6.226,8.53,7.622,0.369
DA,H2',901,0.839,3.21,2.619,0.236
DA,H2'',895,0.575,3.34,2.771,0.243
DA,H3',869,4.00,6.040,4.961,0.152
DA,H4',678,2.076,5.200,4.348,0.218
DA,H5',359,2.909,5.690,4.053,0.234
DA,H5'',317,2.986,4.46,4.033,0.213
DA,H61,114,5.533,13.40,7.028,1.085
DA,H62,111,5.307,12.90,6.802,1.166
DA,H8,914,6.95,9.1,8.135,0.228
DA,C1',112,82.030,91.903,85.282,1.091
DA,C2,112,152.404,159.328,154.826,1.203
DA,C2',108,36.228,42.934,40.404,0.972
DA,C3',84,74.651,80.2,78.638,0.996
DA,C4,2,150.3,150.6,150.450,0.212
DA,C4',53,84.426,88.707,86.949,0.975
DA,C5,2,119.8,119.9,119.850,0.071
DA,C5',36,47.77,69.708,66.759,3.657
DA,C6,2,157.0,157.4,157.200,0.283
DA,C8,123,138.509,143.324,141.445,0.833
DA,N1,3,223.4,227,225.200,1.800
DA,N3,3,214.5,216.4,215.733,1.069
DA,N6,9,77.4,81.7,80.222,1.285
DA,N7,2,233.5,234.1,233.800,0.424
DA,N9,1,170.2,170.2,170.200,
DA,P,217,-45.291,35.48,-2.508,6.043
DC,H1',1056,4.79,6.575,5.871,0.292
DC,H2',1049,0.76,2.82,2.062,0.238
DC,H2'',1028,1.35,3.468,2.359,0.212
DC,H3',972,2.770,5.78,4.753,0.182
DC,H4',751,2.084,4.837,4.137,0.285
DC,H41,471,4.918,12.08,7.583,0.912
DC,H42,453,5.71,10.62,7.558,0.969
DC,H5,1054,1.99,8.253,5.566,0.390
DC,H5',368,2.57,4.655,4.011,0.269
DC,H5'',306,2.83,4.57,3.999,0.274
DC,H6,1058,6.28,8.305,7.477,0.243
DC,C1',108,77.90,88.5,87.152,1.556
DC,C2,2,158.8,159.2,159.000,0.283
DC,C2',98,30.62,41.765,40.316,1.463
DC,C3',78,70.48,80.3,77.375,1.844
DC,C4,2,167.8,168.0,167.900,0.141
DC,C4',43,77.80,88.39,85.903,2.044
DC,C5,104,96.874,99.9,98.718,0.492
DC,C5',27,59.30,68.4,66.108,2.327
DC,C6,104,139.8,144.7,143.186,0.816
DC,N1,1,150.7,150.7,150.700,
DC,N3,1,196.3,196.3,196.300,
DC,N4,16,95.1,100.405,98.290,1.333
DC,P,300,-9.414,52.721,-1.422,7.542
DG,H1,1173,5.8817,13.94,11.981,0.849
DG,H1',1760,4.1,6.628,5.923,0.283
DG,H2',1748,0.63,3.753,2.622,0.270
DG,H2'',1720,1.160,3.85,2.682,0.214
DG,H21,263,3.95,11.039,8.167,1.611
DG,H22,243,3.95,10.10,7.057,1.198
DG,H3',1668,4.181,6.085,4.938,0.162
DG,H4',1395,2.820,5.200,4.361,0.195
DG,H5',837,2.832,5.553,4.125,0.237
DG,H5'',701,2.862,4.730,4.107,0.237
DG,H8,1760,6.07,8.44,7.787,0.263
DG,C1',129,74.9,91.068,85.098,1.768
DG,C2,2,156.5,156.7,156.600,0.141
DG,C2',111,33.12,42.8,40.049,1.264
DG,C3',97,67.72,81.407,78.142,1.966
DG,C4,2,153.1,154.0,153.550,0.636
DG,C4',59,75.274,89.4,86.853,2.331
DG,C5,2,117.4,117.6,117.500,0.141
DG,C5',45,58.50,70.051,66.920,2.095
DG,C6,2,161.0,161.4,161.200,0.283
DG,C8,168,116.831,142.928,137.034,5.304
DG,N1,30,142.742,147.7,145.588,1.998
DG,N2,5,75.1,76.1,75.520,0.377
DG,N7,4,236.9,238.3,237.275,0.685
DG,N9,1,168.5,168.5,168.500,
DG,P,372,-20.919,47.102,-1.318,7.386
DT,H1',1228,4.69,6.724,5.944,0.291
DT,H2',1221,0.504,2.793,2.105,0.262
DT,H2'',1200,0.78,4.874,2.358,0.260
DT,H3,496,2.123,14.46,13.136,1.327
DT,H3',1153,3.929,5.889,4.782,0.185
DT,H4',838,2.092,4.980,4.137,0.300
DT,H5',514,2.541,4.487,3.952,0.333
DT,H5'',469,2.536,4.61,3.950,0.331
DT,H6,1239,6.04,8.33,7.358,0.265
DT,M7,1085,0.42,2.726,1.574,0.256
DT,C1',195,80.60,92.218,87.052,1.247
DT,C2,2,152.9,153.4,153.150,0.354
DT,C2',180,34.38,42.958,40.002,0.898
DT,C3',169,71.58,80.1,77.456,1.792
DT,C4,2,168.5,169.1,168.800,0.424
DT,C4',55,78.8,89.313,86.136,1.594
DT,C5,9,14.30,113.6,36.433,43.636
DT,C5',40,59.4,68.4,66.527,1.744
DT,C6,213,136.08,143.6,139.267,0.779
DT,C7,44,11.962,14.9,14.208,0.673
DT,N1,1,142.9,142.9,142.900,
DT,N3,34,158.4,160.5,159.324,0.588
DT,P,244,-5.65,47.785,-0.974,8.233
