NAME	CHARGE	HYDROPHOBICITY	AROMATIC	PROLINE	BULK	HELIX	SHEET
ALA	0	0.4	0	0	0.1	1.41	0.75
ARG	1	-1	0	0	0.7	1.21	0.85
ASN	0	-0.777777778	0	0	0.4	0.73	0.63
ASP	-1	-0.777777778	0	0	0.4	0.82	0.55
CYS	0	0.555555556	0	0	0.2	0.85	1.36
CYD	0	0.555555556	0	0	0.2	0.85	1.36
GLU	-1	-0.777777778	0	0	0.5	1.39	0.65
GLN	0	-0.777777778	0	0	0.5	1.26	0.72
GLY	0	-0.088888889	0	0	0	0.44	0.67
HIS	0	-0.711111111	0.533333333	0	0.6	0.87	0.99
ILE	0	1	0	0	0.4	1.04	1.79
LEU	0	0.844444444	0	0	0.4	1.28	1.15
LYS	1	-0.866666667	0	0	0.5	1.17	0.76
MET	0	0.422222222	0	0	0.4	1.26	1.01
PHE	0	0.622222222	0.666666667	0	0.7	1.00	1.4
PRO	0	-0.355555556	0	1	0.3	0.44	0.40
SER	0	-0.177777778	0	0	0.2	0.76	0.81
THR	0	-0.155555556	0	0	0.3	0.78	1.21
TRP	0	-0.2	1	0	1	1.07	1.23
TYR	0	-0.288888889	0.666666667	0	0.8	0.98	1.37
VAL	0	0.933333333	0	0	0.3	0.91	2.00
